name,gm_rate,zoodex_rating,zoodex_review,gm_review,Zoodex CSAT,GM CSAT,Zoodex Normalized CSAT,GM Normalized CSAT,Final CSAT,Cluster,Class
زرین مشرق زمین,0.8,0.0,0.014492753623188406,0.24752475247524752,0.010144927536231883,0.41326732673267325,0.010792476102374344,0.4368576392522973,0.42674375843484474,1,B
Olca doner اُلکا دونر,1.0,0.0,0.014492753623188406,0.0297029702970297,0.010144927536231883,0.3207920792079208,0.010792476102374344,0.33910367780964146,0.3322471042199297,3,C
کافه رستوران سنتی بینام,0.0,0.0,0.018115942028985508,0.0,0.012681159420289854,0.0,0.013490595127967929,0.0,0.005553580948995912,0,E
Desert nights Restaurant,0.9,0.8,1.0,0.019801980198019802,0.94,0.2838613861386139,0.9999999999999999,0.30006489020995125,0.701729436951413,4,A
Cafepizza ghorob,0.0,0.8,1.0,0.0,0.94,0.0,0.9999999999999999,0.0,0.41166315468785697,1,B
رستوران شب های کویر (علی تاج),0.66,0.8,1.0,0.06930693069306931,0.94,0.2465148514851485,0.9999999999999999,0.26058652376865593,0.6635665483327128,4,A
رستوران نخل (کلبه دورهمی),0.78,0.0,0.0,0.1188118811881188,0.0,0.3171683168316831,0.0,0.33527306218993985,0.3241012656446024,3,C
کافه صبحانه پارسا,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
غذای بیرون بر تک ستاره شیراز,1.0,0.9199999999999999,0.15942028985507248,0.0297029702970297,0.3875942028985507,0.3207920792079208,0.4123342584027135,0.33910367780964146,0.497547061060672,1,B
رستوران و بیرون بر شبدیز,0.0,0.9199999999999999,0.15942028985507248,0.0,0.3875942028985507,0.0,0.4123342584027135,0.0,0.16974282159993903,2,D
پیتزا آسمان رفسنجان,0.0,0.9199999999999999,0.15942028985507248,0.0,0.3875942028985507,0.0,0.4123342584027135,0.0,0.16974282159993903,2,D
کافه رستوران من,0.0,0.9199999999999999,0.15942028985507248,0.0,0.3875942028985507,0.0,0.4123342584027135,0.0,0.16974282159993903,2,D
ساندویچی هیوا,0.0,0.9199999999999999,0.15942028985507248,0.0,0.3875942028985507,0.0,0.4123342584027135,0.0,0.16974282159993903,2,D
کبابی دایی ولی,0.0,0.0,0.1956521739130435,0.0,0.13695652173913042,0.0,0.14569842738205363,0.0,0.05997867424915585,0,E
پیتزا جزیره,0.8,0.0,0.0036231884057971015,0.019801980198019802,0.002536231884057971,0.25386138613861386,0.002698119025593586,0.26835241663701254,0.26052123161489776,3,C
صبحانه جانانه,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
مرخ سوخاری کنج,0.0,0.0,0.007246376811594203,0.0,0.005072463768115942,0.0,0.005396238051187172,0.0,0.0022214323795983646,0,E
نان داغ کباب داغ ریحون,0.0,0.0,0.043478260869565216,0.0,0.03043478260869565,0.0,0.03237742830712303,0.0,0.01332859427759019,0,E
غذای بیرون بر تک ستاره شیراز,1.0,0.9,0.8079710144927537,0.0297029702970297,0.8355797101449275,0.3207920792079208,0.8889145852605611,0.33910367780964146,0.6937376218771436,4,A
رستوران و بیرون بر شبدیز,0.0,0.9,0.8079710144927537,0.0,0.8355797101449275,0.0,0.8889145852605611,0.0,0.36593338241641066,3,C
پیتزا آسمان رفسنجان,0.0,0.9,0.8079710144927537,0.0,0.8355797101449275,0.0,0.8889145852605611,0.0,0.36593338241641066,3,C
کافه رستوران من,0.0,0.9,0.8079710144927537,0.0,0.8355797101449275,0.0,0.8889145852605611,0.0,0.36593338241641066,3,C
ساندویچی هیوا,0.0,0.9,0.8079710144927537,0.0,0.8355797101449275,0.0,0.8889145852605611,0.0,0.36593338241641066,3,C
رستوران سرآشپز رفسنجان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
پیتزا جزیره,0.8,0.0,0.10869565217391304,0.019801980198019802,0.07608695652173912,0.25386138613861386,0.08094357076780757,0.26835241663701254,0.29273200111907405,3,C
صبحانه جانانه,0.0,0.0,0.10869565217391304,0.0,0.07608695652173912,0.0,0.08094357076780757,0.0,0.03332148569397547,0,E
Gilani Restaurant,0.82,0.0,0.10869565217391304,1.0,0.07608695652173912,0.946,0.08094357076780757,0.9999999999999999,0.9999999999999999,4,A
Mostafa Kalbadinejad's chain restaurant - Akbar Joojeh,0.7400000000000001,0.7400000000000001,0.19927536231884058,0.1485148514851485,0.36149275362318845,0.325960396039604,0.3845667591736047,0.344567014841019,0.49139749525486964,1,B
رستوران امیر,0.0,0.0,0.018115942028985508,0.0,0.012681159420289854,0.0,0.013490595127967929,0.0,0.005553580948995912,0,E
مرخ سوخاری کنج,0.0,0.0,0.19927536231884058,0.0,0.1394927536231884,0.0,0.1483965464076472,0.0,0.06108939043895503,0,E
Shakeri kebab shop,0.9199999999999999,0.0,0.010869565217391304,0.04950495049504951,0.0076086956521739125,0.3106534653465346,0.008094357076780757,0.3283863270047934,0.3207761552768036,3,C
چلو کباب بناب اسماعیلی,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
Shams Restaurant,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
کبابکده سنتی مَن,1.0,0.0,0.0,0.009900990099009901,0.0,0.3069306930693069,0.0,0.32445104975613837,0.3136398587432939,3,C
پیتزا جزیره,0.8,0.0,0.0,0.019801980198019802,0.0,0.25386138613861386,0.0,0.26835241663701254,0.2594105154250986,3,C
صبحانه جانانه,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
صبحانه نشاط,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
Goltabeh Pizza,0.76,0.0,0.0036231884057971015,0.12871287128712872,0.002536231884057971,0.31809900990099005,0.002698119025593586,0.33625688150210364,0.32616301882542964,3,C
فست فود کلبه,1.0,0.0,0.0,0.019801980198019802,0.0,0.31386138613861386,0.0,0.3317773637828899,0.3207220491020134,3,C
غذای بیرون بر تک ستاره شیراز,1.0,0.0,0.0,0.0297029702970297,0.0,0.3207920792079208,0.0,0.33910367780964146,0.32780423946073295,3,C
رستوران و بیرون بر شبدیز,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
پیتزا آسمان رفسنجان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه رستوران من,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
ساندویچی هیوا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Ashkadeh liro,0.86,1.0,0.12681159420289856,0.0297029702970297,0.388768115942029,0.2787920792079208,0.41358310206598825,0.2947062148075273,0.4551430904089673,1,B
Melon Pizza,0.82,0.0,0.0,0.06930693069306931,0.0,0.2945148514851485,0.0,0.3113264814853578,0.3009526205863877,3,C
کباب بره حسام,0.8,0.0,0.0,0.019801980198019802,0.0,0.25386138613861386,0.0,0.26835241663701254,0.2594105154250986,3,C
Behnoosh sandwich,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
کبابی و جگرسرای هزار و یکشب,0.0,0.0,0.0036231884057971015,0.0,0.002536231884057971,0.0,0.002698119025593586,0.0,0.0011107161897991823,0,E
رستوران کاکو شیرازی,0.86,0.8400000000000001,0.2282608695652174,0.0297029702970297,0.4117826086956522,0.2787920792079208,0.43806660499537464,0.2947062148075273,0.4652220464626879,1,B
فست فود آسمان,1.0,0.8400000000000001,0.2282608695652174,0.009900990099009901,0.4117826086956522,0.3069306930693069,0.43806660499537464,0.32445104975613837,0.49397573931908917,1,B
رستوران وبیرون بر سرو شعبه 3,0.0,0.8400000000000001,0.2282608695652174,0.0,0.4117826086956522,0.0,0.43806660499537464,0.0,0.18033588057579528,2,D
کافه صبحانه پارسا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
مرخ سوخاری کنج,0.0,0.0,0.057971014492753624,0.0,0.04057971014492753,0.0,0.043169904409497376,0.0,0.017771459036786917,0,E
رستوران آب و آتش,0.0,0.7400000000000001,0.15217391304347827,0.0,0.3285217391304348,0.0,0.3494912118408881,0.0,0.14387265480210212,2,D
شیرینی حاج خانوم شعبه ۳,0.0,0.7400000000000001,0.15217391304347827,0.0,0.3285217391304348,0.0,0.3494912118408881,0.0,0.14387265480210212,2,D
رستوران آب و آتش,0.0,0.0,0.036231884057971016,0.0,0.02536231884057971,0.0,0.026981190255935858,0.0,0.011107161897991824,0,E
کبابی دایی ولی,0.0,0.0,0.025362318840579712,0.0,0.017753623188405798,0.0,0.018886833179155103,0.0,0.007775013328594278,0,E
رستوران نصف جهان,0.0,0.0,0.028985507246376812,0.0,0.020289855072463767,0.0,0.021584952204748688,0.0,0.008885729518393459,0,E
کبابی تیکران,0.0,0.0,0.014492753623188406,0.0,0.010144927536231883,0.0,0.010792476102374344,0.0,0.004442864759196729,0,E
Melon Pizza,0.82,0.0,0.014492753623188406,0.06930693069306931,0.010144927536231883,0.2945148514851485,0.010792476102374344,0.3113264814853578,0.30539548534558447,3,C
کباب بره حسام,0.8,0.0,0.014492753623188406,0.019801980198019802,0.010144927536231883,0.25386138613861386,0.010792476102374344,0.26835241663701254,0.2638533801842953,3,C
