Restaurant Name,Rating,Number of Reviews,Lat/Long,Rate_norm,Review_norm
صبحانه ستارخان,,,"('30.402776712682982', '55.97893610925867')",,
تهیه غذا کاکو,4.2,63.0,"('30.396071778643783', '55.97440761366786')",0.7142857142857143,0.22545454545454546
چلو خورش,,,"('30.39904902337028', '55.990880044827165')",,
پاچینی نمکدون,,16.0,"('30.401221', '55.989916')",,0.05454545454545454
تهیه غذای آب و آتش,3.7,42.0,"('30.394245', '55.971516')",0.5357142857142857,0.14909090909090908
بیرون بر عمو عسکر,,10.0,"('30.394443', '55.971728')",,0.03272727272727273
بیرون بر سرو,,7.0,"('30.411588777291012', '55.98390324285695')",,0.02181818181818182
باغچه رستوران هشتگ,3.0,19.0,"('30.369990', '56.034797')",0.28571428571428564,0.06545454545454546
کبابی باباطاهر,,8.0,"('30.402847274788428', '55.98484505861657')",,0.025454545454545455
طباخی طهران,,1.0,"('30.374086558127036', '56.02349431652941')",,0.0
رستوران هتل الماس,,4.0,"('30.387681', '56.004230')",,0.01090909090909091
بیرون بر صاحب الزمان,,,"('30.433243932172452', '56.03162819108577')",,
کباب بره حسام,,4.0,"('30.382233', '56.009227')",,0.01090909090909091
رستوران نان و نمک,,,"('30.414568', '55.987859')",,
تهیه غذا کیمیا,3.8,20.0,"('30.418073', '56.006132')",0.5714285714285713,0.06909090909090909
رستوران دیزی بار,,3.0,"('30.398419170130566', '55.98546670443938')",,0.007272727272727273
غذای رژیمی لیدو (LIDO),,4.0,"('30.417025', '55.979150')",,0.01090909090909091
رستوران و کبابسرا ستاره شب,,,"('30.430077', '56.051900')",,
صبحانه و کبابی دل آرا,,,"('30.40748326746425', '55.98344225903945')",,
کباب سرای ایرانی,,7.0,"('30.387541184654243', '55.961475349166776')",,0.02181818181818182
بیرون بر شکم طلایی,,2.0,"('30.388322155226664', '55.9935545577392')",,0.0036363636363636364
دایت فود (غذای رژیمی و سالم),4.6,16.0,"('30.396211784994886', '55.996933544969025')",0.857142857142857,0.05454545454545454
رستوران سالم,,13.0,"('30.387073', '55.960312')",,0.04363636363636364
بیرون بر زرین غذا,,3.0,"('30.414768', '55.987212')",,0.007272727272727273
کباب بره صوفیا,4.3,46.0,"('30.392045', '55.998651')",0.7499999999999999,0.16363636363636364
بیرون بر همیشه بهار,,15.0,"('30.398197', '55.982148')",,0.05090909090909091
جگرسرای شب نشین,,4.0,"('30.398643', '55.991407')",,0.01090909090909091
رستوران شهرزاد,4.1,157.0,"('30.403926', '55.997480')",0.6785714285714284,0.5672727272727273
هایپر آتیس,,3.0,"('30.384212980978205', '56.00835186744693')",,0.007272727272727273
رستوران ته چین,3.8,69.0,"('30.392073874782096', '56.01147975064442')",0.5714285714285713,0.24727272727272728
