name,gm_rate,gm_review,latitude,longitude,zoodex_review,zoodex_rating,Rating,Reviews,Number of Reviews
Gym food,,,30.3972851,55.996209,,,4.0,2.0,
باباطاهر,,,30.4002336,55.9804165,,,,,
Lux Talaei Restaurant,,,30.3781335,55.9558954,,,4.0,40.0,
Tavakol Traditional Restaurant,,,30.4079222,55.9892611,,,,,
Nozhan Fast Food,,,30.4044959,55.9935332,,,4.2,11.0,
Baharestan Restaurant,,,30.3996249,55.9790372,,,,,
رستوران کیافود,,,30.3894954,55.995684,,,5.0,3.0,
Fastfood Piano,,,30.4046616,55.9782411,,,5.0,1.0,
اغذیه بهروز,,,30.3892537,55.9800876,,,,,
پیتزا جردن رفسنجان,,,30.4069092,56.004833,,,5.0,1.0,
Karen Restaurant,,,30.3962282,55.9882077,,,4.1,16.0,
Zireh Pizza & Crispy chicken,,,30.415715,55.9755578,,,,,
تالار تشریفات کاخ,,,30.3789544,55.919122,,,,,
Koohsar Restaurant,,,30.4207664,55.9805905,,,,,
سوخاری مستر چیکو (Mr. Chiko),,,30.4047451,55.9933656,,,5.0,2.0,
ساندویچ فلافل ناخدا ابوعلی,,,30.4043722,55.9959694,,,,,
فست فود مکس,,,30.4082092,55.9929763,,,,,
صبحانه و کبابی باباعباس,,,30.4040106,55.9946021,,,3.0,1.0,
Cafe fastfood plaza,,,30.4275177,55.9729884,,,3.7,20.0,
Venus pizza,,,30.4118475,56.0015342,,,4.4,5.0,
کافه رستوران تالارمهر,,,30.3806806,55.989237,,,,,
کلبه بانو,,,30.3844932,55.9508784,,,,,
رستوران ما,,,30.3898477,55.9987198,,,,,
سوخاری کیلویی قارچ ویچ,,,30.3910917,55.9995532,,,5.0,2.0,
سفرخانه‌سنتی‌ ️امام‌رضا ️,,,30.3842422,56.0146518,,,5.0,1.0,
رستوران سنتی سیمرغ,,,30.4068843,55.9913364,,,3.3,4.0,
فلافل سرای محمد امین,,,30.4173429,56.0029082,,,,,
رستوران دیزی بار,,,30.3968135,55.9827162,,,,,
کافه رستوران سی متری(۳۰ متری),,,30.3940998,55.9959927,,,,,
پیتزا ساندویچ آریانا,,,30.3982662,55.9773812,,,,,
فست فود کاکتوس,,,30.3899044,55.9728323,,,,,
Konj Golestan Amin,,,30.404191,55.9930967,,,3.9,10.0,
Green Moon Restaurant,,,30.3873166,55.9845536,,,,,
Ajdar Zapata,,,30.40535,55.9790216,,,3.1,12.0,
کباب سرای مادر,,,30.3757548,56.0149882,,,,,
فست فود عرفان,,,30.3941732,56.0045535,,,,,
نانوائی علی بابا,,,30.4106884,56.0048028,,,,,
پیتزا هایدا,,,30.4243069,55.9772009,,,,,
Yas Food court,,,30.3877314,55.9264662,,,4.5,2.0,
چلوکباب سماق,,,30.4240815,55.9775661,,,,,
Sirin fast food,,,30.3944439,55.9958476,,,4.3,6.0,
kondez fastfood,,,30.4060914,56.005638,,,3.3,3.0,
Khan Daei Restaurant,,,30.4177338,55.993506,,,,,
کافه قرمز,,,30.4076372,55.9807447,,,4.5,2.0,
Zima cafe,,,30.4084787,55.9889553,,,,,
کافه باران,,,30.4104192,55.9711019,,,,,
Hall and Castle Garden Restaurant Artemis,,,30.4030682,55.9655067,,,,,
Chukouch,,,30.4110566,55.9790594,,,,,
کافه تک,,,30.3897419,56.0106622,,,,,
مغازه طیبه امینی رنجبر,,,30.3968135,55.9827162,,,,,
خانه برگر,,,30.4121136,55.9803776,,,,,
رستوران لکسون,,,30.3962045,55.9657618,,,,,
غذا برون بر و آشپزخانه بمانادی,,,30.3768784,55.9722062,,,,,
رستوران و ساندویچی نارنج,,,30.3678966,55.929987,,,,,
Tabeta Pizza,,,30.3918472,55.9996391,,,,,
Mazzeh Sandwich,,,30.4104764,56.0039814,,,,,
کول کاپ,,,30.3978271,55.9892171,,,,,
Madar Restaurant,,,30.4093195,55.9990676,,,,,
قهوه,,,30.3918739,55.9757288,,,,,
فست فود هانی,,,30.3994823,55.9798053,,,,,
یوتاب فست فود,,,30.3927874,55.9696046,,,,,
فست فود بهارستان,,,30.3548893,56.002705,,,,,
باغ شیرینی روشان,,,30.4108986,55.9791462,,,,,
رستوران و کباب بناب آذربایجان,,,30.425637,55.975417,,,,,5.0
رستوران یاس کبود,,,30.414430292283,55.961038197861285,,,,,1.0
رستوران پامچال,,,30.368341803599353,56.04231453714482,,,2.2,,8.0
کره کباب ناردون,,,30.407131,55.982608,,,,,18.0
رستوران اردیبهشت,,,30.407517169692,55.994136689391624,,,,,
نان داغ کباب داغ حیدربابا,,,30.403067,55.973142,,,,,17.0
قیمه قرمه تهران,,,30.400783,55.970746,,,,,
بریانی نمونه,,,30.400277,55.990232,,,,,1.0
کافه رستوران برکه,,,30.413953658790884,55.98798128846526,,,,,
بیرون بر ملک,,,30.434090376150134,55.96942972757219,,,,,2.0
جگرکی دلچسب,,,30.397236,55.976338,,,,,
رستوران کد بانو,,,30.403462430893807,55.984877881297464,,,,,
بیرون بر خان,,,30.401247,55.996994,,,,,5.0
بیرون بر چاینیز فود (Chinese Food),,,30.402826815838708,56.01381388388247,,,4.2,,15.0
رستوران سنتی بی بی شریفه,,,30.383016198071296,55.976772521505794,,,,,
رستوران الماس کویر,,,30.43971139461304,55.96032153304957,,,,,
چلو کبابی سیدباقر و پسران,,,30.405020071311288,55.98876887978504,,,4.5,,19.0
نشاط فودسنتر,,,30.403247,55.98526,,,,,32.0
بشقاب طلایی,,,30.379187648318933,56.012664715972306,,,,,
رستوران تارونی,,,30.397593927262463,55.976465769855885,,,,,2.0
کباب سرای سعیدی,,,30.425066925370395,55.975671800067566,,,,,
تهیه غذای پارسی,,,30.373435984441866,56.02124028174361,,,4.6,,16.0
بیرون بر پدر,,,30.418718848142728,55.97077491772215,,,,,2.0
غذا خانگی خاتون,,,30.405487,55.989084,,,,,7.0
کباب بناب آذربایجان,,,30.411645679975933,55.99275219378199,,,,,5.0
رستوران شمرون,,,30.39536,55.991866,,,,,
رستوران دهکده غذا,,,30.380584,56.010275,,,,,4.0
عمارت,,,30.409966,56.00047,,,,,10.0
رستوران گیلدخت,,,30.400851,55.987042,,,4.0,,165.0
کباب بناب شانلی آذربایجان,,,30.40207581285352,55.97392112340446,,,3.8,,25.0
رستوران سنتی مهر,,,30.380284,55.988015,,,,,5.0
بیرون بر شبدیز,,,30.379799495738514,55.98153295596092,,,3.9,,28.0
فرش بار (جیم فود سابق),,,30.382539561549784,56.015776701690264,,,,,6.0
صبحانه ستارخان,,,30.402776712682986,55.97893610925867,,,,,
باغچه رستوران هشتگ,,,30.36999,56.034797,,,3.0,,19.0
طباخی طهران,,,30.374086558127036,56.02349431652941,,,,,1.0
بیرون بر صاحب الزمان,,,30.433243932172452,56.03162819108577,,,,,
رستوران نان و نمک,,,30.414568,55.987859,,,,,
رستوران دیزی بار,,,30.39841917013057,55.98546670443938,,,,,3.0
غذای رژیمی لیدو (LIDO),,,30.417025,55.97915,,,,,4.0
رستوران و کبابسرا ستاره شب,,,30.430077,56.0519,,,,,
صبحانه و کبابی دل آرا,,,30.40748326746425,55.98344225903945,,,,,
بیرون بر شکم طلایی,,,30.388322155226664,55.9935545577392,,,,,2.0
دایت فود (غذای رژیمی و سالم),,,30.39621178499489,55.996933544969025,,,4.6,,16.0
بیرون بر زرین غذا,,,30.414768,55.987212,,,,,3.0
بیرون بر همیشه بهار,,,30.398197,55.982148,,,,,15.0
هایپر آتیس,,,30.384212980978205,56.00835186744693,,,,,3.0
